respondent,years_coding,years_coding_prof
70731,3-5 years,3-5 years
70732,6-8 years,6-8 years
70734,9-11 years,3-5 years
70736,24-26 years,12-14 years
70737,0-2 years,0-2 years
70738,9-11 years,3-5 years
70740,6-8 years,NA
70741,15-17 years,3-5 years
70742,6-8 years,0-2 years
70743,3-5 years,3-5 years
70744,15-17 years,12-14 years
70745,6-8 years,3-5 years
70746,6-8 years,6-8 years
70747,18-20 years,NA
70748,6-8 years,0-2 years
70749,12-14 years,3-5 years
70750,3-5 years,3-5 years
70752,6-8 years,3-5 years
70754,12-14 years,6-8 years
70755,12-14 years,9-11 years
70756,21-23 years,18-20 years
70758,3-5 years,0-2 years
70760,0-2 years,0-2 years
70762,6-8 years,0-2 years
70765,9-11 years,9-11 years
70767,18-20 years,9-11 years
70768,27-29 years,9-11 years
70771,18-20 years,15-17 years
70772,0-2 years,0-2 years
70773,15-17 years,9-11 years
70774,6-8 years,0-2 years
70775,12-14 years,9-11 years
70776,0-2 years,0-2 years
70777,12-14 years,6-8 years
70778,12-14 years,6-8 years
70780,6-8 years,9-11 years
70782,3-5 years,0-2 years
70783,6-8 years,NA
70784,9-11 years,6-8 years
70785,12-14 years,9-11 years
70786,15-17 years,12-14 years
70787,9-11 years,9-11 years
70788,15-17 years,9-11 years
70789,6-8 years,6-8 years
70791,3-5 years,3-5 years
70792,3-5 years,0-2 years
70793,12-14 years,6-8 years
70795,6-8 years,NA
70797,9-11 years,NA
70799,3-5 years,0-2 years
70800,3-5 years,3-5 years
70801,3-5 years,0-2 years
70802,9-11 years,0-2 years
70803,3-5 years,3-5 years
70804,0-2 years,0-2 years
70806,9-11 years,NA
70807,15-17 years,3-5 years
70811,6-8 years,NA
70812,9-11 years,6-8 years
70813,18-20 years,15-17 years
70814,6-8 years,6-8 years
70815,3-5 years,0-2 years
70816,6-8 years,NA
70817,3-5 years,3-5 years
70818,3-5 years,0-2 years
70819,3-5 years,3-5 years
70820,6-8 years,3-5 years
70822,15-17 years,9-11 years
70823,9-11 years,9-11 years
70824,6-8 years,3-5 years
70825,6-8 years,3-5 years
70826,6-8 years,6-8 years
70829,6-8 years,3-5 years
70833,6-8 years,6-8 years
70834,3-5 years,3-5 years
70835,3-5 years,NA
70837,3-5 years,3-5 years
70838,6-8 years,NA
70842,30 or more years,30 or more years
70844,6-8 years,0-2 years
70845,21-23 years,18-20 years
70846,0-2 years,0-2 years
70848,21-23 years,NA
70849,6-8 years,6-8 years
70850,3-5 years,0-2 years
70851,18-20 years,18-20 years
70853,12-14 years,6-8 years
70856,0-2 years,0-2 years
70858,15-17 years,12-14 years
70860,9-11 years,NA
70861,12-14 years,6-8 years
70862,6-8 years,0-2 years
70863,3-5 years,3-5 years
70864,18-20 years,6-8 years
70865,6-8 years,3-5 years
70866,15-17 years,6-8 years
70869,12-14 years,6-8 years
70870,15-17 years,6-8 years
70872,3-5 years,3-5 years
70875,6-8 years,3-5 years
70876,9-11 years,6-8 years
70877,9-11 years,3-5 years
70878,3-5 years,NA
70880,27-29 years,24-26 years
70881,9-11 years,3-5 years
70882,9-11 years,6-8 years
70883,3-5 years,0-2 years
70884,18-20 years,18-20 years
70885,9-11 years,9-11 years
70888,6-8 years,3-5 years
70889,18-20 years,15-17 years
70890,3-5 years,3-5 years
70891,12-14 years,9-11 years
70892,3-5 years,3-5 years
70893,0-2 years,0-2 years
70894,6-8 years,6-8 years
70896,15-17 years,15-17 years
70897,6-8 years,3-5 years
70898,3-5 years,0-2 years
70900,0-2 years,0-2 years
70901,3-5 years,0-2 years
70902,3-5 years,3-5 years
70903,21-23 years,18-20 years
70904,9-11 years,NA
70906,6-8 years,6-8 years
70907,18-20 years,15-17 years
70908,3-5 years,NA
70909,6-8 years,0-2 years
70911,0-2 years,6-8 years
70912,6-8 years,3-5 years
70914,6-8 years,3-5 years
70915,6-8 years,3-5 years
70916,9-11 years,3-5 years
70917,9-11 years,NA
70919,6-8 years,6-8 years
70921,9-11 years,3-5 years
70922,15-17 years,15-17 years
70923,15-17 years,12-14 years
70924,3-5 years,0-2 years
70925,6-8 years,3-5 years
70926,24-26 years,9-11 years
70927,0-2 years,0-2 years
70928,6-8 years,6-8 years
70929,6-8 years,6-8 years
70931,12-14 years,12-14 years
70934,15-17 years,12-14 years
70935,6-8 years,0-2 years
70936,3-5 years,0-2 years
70937,21-23 years,18-20 years
70938,3-5 years,3-5 years
70939,12-14 years,12-14 years
70940,9-11 years,NA
70941,15-17 years,6-8 years
70942,6-8 years,0-2 years
70943,6-8 years,3-5 years
70944,15-17 years,15-17 years
70947,6-8 years,3-5 years
70948,6-8 years,3-5 years
70949,15-17 years,15-17 years
70950,9-11 years,9-11 years
70952,3-5 years,NA
70953,3-5 years,0-2 years
70955,12-14 years,12-14 years
70957,9-11 years,NA
70958,15-17 years,9-11 years
70959,15-17 years,6-8 years
70961,9-11 years,NA
70962,9-11 years,3-5 years
70963,15-17 years,15-17 years
70964,3-5 years,0-2 years
70966,6-8 years,0-2 years
70967,6-8 years,3-5 years
70968,3-5 years,3-5 years
70969,3-5 years,3-5 years
70970,3-5 years,3-5 years
70971,12-14 years,12-14 years
70972,6-8 years,3-5 years
70973,21-23 years,18-20 years
70974,0-2 years,NA
70975,3-5 years,NA
70976,15-17 years,NA
70977,21-23 years,6-8 years
70978,18-20 years,3-5 years
70979,0-2 years,0-2 years
70987,24-26 years,21-23 years
70988,6-8 years,3-5 years
70989,0-2 years,NA
70990,18-20 years,9-11 years
70991,24-26 years,18-20 years
70992,9-11 years,3-5 years
70994,30 or more years,30 or more years
70995,15-17 years,12-14 years
70998,21-23 years,NA
70999,24-26 years,NA
71002,6-8 years,6-8 years
71003,3-5 years,3-5 years
71004,9-11 years,6-8 years
71005,0-2 years,0-2 years
71006,15-17 years,6-8 years
71007,3-5 years,NA
71008,3-5 years,3-5 years
71009,6-8 years,NA
71011,6-8 years,NA
71012,3-5 years,NA
71014,21-23 years,NA
71015,0-2 years,0-2 years
71016,18-20 years,12-14 years
71019,9-11 years,0-2 years
71021,6-8 years,3-5 years
71022,15-17 years,9-11 years
71025,30 or more years,NA
71026,6-8 years,3-5 years
71027,12-14 years,6-8 years
71028,3-5 years,0-2 years
71029,3-5 years,0-2 years
71030,12-14 years,6-8 years
71036,15-17 years,3-5 years
71039,0-2 years,0-2 years
71040,6-8 years,3-5 years
71041,0-2 years,0-2 years
71042,12-14 years,9-11 years
71044,6-8 years,3-5 years
71045,6-8 years,0-2 years
71049,3-5 years,3-5 years
71050,6-8 years,0-2 years
71052,9-11 years,9-11 years
71053,12-14 years,6-8 years
71055,15-17 years,9-11 years
71056,3-5 years,3-5 years
71057,12-14 years,6-8 years
71059,3-5 years,NA
71060,12-14 years,6-8 years
71061,3-5 years,3-5 years
71062,3-5 years,0-2 years
71063,3-5 years,0-2 years
71064,9-11 years,9-11 years
71065,9-11 years,3-5 years
71066,3-5 years,3-5 years
71069,15-17 years,9-11 years
71073,18-20 years,12-14 years
71074,6-8 years,NA
71075,6-8 years,3-5 years
71076,3-5 years,3-5 years
71077,3-5 years,3-5 years
71078,6-8 years,0-2 years
71079,3-5 years,3-5 years
71080,18-20 years,9-11 years
71081,6-8 years,3-5 years
71082,21-23 years,21-23 years
71084,18-20 years,15-17 years
71085,9-11 years,3-5 years
71086,3-5 years,3-5 years
71087,9-11 years,9-11 years
71088,15-17 years,9-11 years
71089,6-8 years,0-2 years
71090,3-5 years,3-5 years
71091,15-17 years,15-17 years
71092,15-17 years,9-11 years
71094,9-11 years,NA
71095,6-8 years,3-5 years
71096,3-5 years,6-8 years
71097,6-8 years,NA
71099,15-17 years,12-14 years
71100,6-8 years,3-5 years
71103,9-11 years,9-11 years
71104,9-11 years,6-8 years
71105,3-5 years,3-5 years
71106,12-14 years,9-11 years
71107,6-8 years,3-5 years
71108,3-5 years,3-5 years
71111,9-11 years,3-5 years
71112,3-5 years,3-5 years
71114,3-5 years,NA
71115,0-2 years,NA
71117,21-23 years,15-17 years
71118,12-14 years,3-5 years
71119,27-29 years,24-26 years
71120,15-17 years,15-17 years
71123,12-14 years,6-8 years
71130,12-14 years,9-11 years
71131,21-23 years,12-14 years
71137,18-20 years,6-8 years
71140,6-8 years,3-5 years
71141,12-14 years,9-11 years
71147,24-26 years,18-20 years
71149,6-8 years,0-2 years
71150,6-8 years,0-2 years
71151,0-2 years,0-2 years
71154,30 or more years,30 or more years
71155,0-2 years,0-2 years
71157,12-14 years,3-5 years
71158,15-17 years,6-8 years
71159,15-17 years,6-8 years
71160,18-20 years,6-8 years
71161,6-8 years,6-8 years
71162,18-20 years,9-11 years
71163,21-23 years,18-20 years
71164,15-17 years,15-17 years
71165,21-23 years,21-23 years
71166,3-5 years,3-5 years
71167,6-8 years,6-8 years
71168,12-14 years,6-8 years
71169,3-5 years,0-2 years
71170,6-8 years,3-5 years
71171,3-5 years,NA
71172,3-5 years,0-2 years
71173,24-26 years,15-17 years
71174,3-5 years,0-2 years
71175,12-14 years,0-2 years
71176,12-14 years,6-8 years
71177,3-5 years,0-2 years
71178,9-11 years,3-5 years
71180,6-8 years,6-8 years
71181,18-20 years,18-20 years
71183,3-5 years,3-5 years
71184,21-23 years,12-14 years
71185,3-5 years,3-5 years
71189,12-14 years,6-8 years
71190,12-14 years,9-11 years
71192,3-5 years,3-5 years
71194,12-14 years,6-8 years
71195,6-8 years,6-8 years
71196,6-8 years,NA
71197,18-20 years,6-8 years
71198,12-14 years,6-8 years
71199,0-2 years,NA
71200,3-5 years,NA
71201,0-2 years,NA
71204,3-5 years,0-2 years
71205,3-5 years,3-5 years
71207,9-11 years,3-5 years
71209,15-17 years,3-5 years
71211,3-5 years,3-5 years
71212,0-2 years,0-2 years
71213,9-11 years,9-11 years
71215,15-17 years,12-14 years
71218,18-20 years,NA
71219,6-8 years,NA
71220,9-11 years,18-20 years
71222,15-17 years,12-14 years
71225,3-5 years,3-5 years
71226,3-5 years,3-5 years
71228,30 or more years,18-20 years
71231,3-5 years,0-2 years
71233,3-5 years,3-5 years
71234,12-14 years,12-14 years
71235,3-5 years,NA
71237,0-2 years,NA
71238,6-8 years,3-5 years
71239,21-23 years,15-17 years
71240,15-17 years,9-11 years
71241,9-11 years,6-8 years
71243,6-8 years,NA
71244,15-17 years,9-11 years
71245,12-14 years,NA
71246,6-8 years,6-8 years
71247,21-23 years,18-20 years
71248,24-26 years,3-5 years
71249,6-8 years,0-2 years
71250,3-5 years,3-5 years
71252,3-5 years,NA
71253,15-17 years,12-14 years
71254,30 or more years,30 or more years
71257,6-8 years,6-8 years
71260,6-8 years,6-8 years
71261,3-5 years,0-2 years
71262,12-14 years,6-8 years
71263,9-11 years,6-8 years
71265,6-8 years,3-5 years
71267,0-2 years,NA
71268,3-5 years,3-5 years
71269,3-5 years,0-2 years
71270,6-8 years,3-5 years
71272,21-23 years,18-20 years
71273,9-11 years,9-11 years
71275,9-11 years,6-8 years
71277,6-8 years,0-2 years
71279,6-8 years,3-5 years
71280,6-8 years,0-2 years
71281,12-14 years,9-11 years
71282,3-5 years,3-5 years
71283,6-8 years,0-2 years
71284,3-5 years,0-2 years
71285,24-26 years,15-17 years
71287,27-29 years,NA
71289,9-11 years,9-11 years
71290,15-17 years,12-14 years
71291,9-11 years,0-2 years
71292,9-11 years,3-5 years
71294,6-8 years,6-8 years
71296,9-11 years,6-8 years
71297,0-2 years,0-2 years
71298,9-11 years,3-5 years
71304,18-20 years,0-2 years
71305,6-8 years,NA
71306,6-8 years,0-2 years
71307,0-2 years,0-2 years
71308,9-11 years,6-8 years
71309,6-8 years,6-8 years
71310,3-5 years,3-5 years
71313,3-5 years,0-2 years
71314,6-8 years,0-2 years
71316,27-29 years,27-29 years
71317,21-23 years,18-20 years
71318,9-11 years,3-5 years
71319,24-26 years,21-23 years
71322,6-8 years,3-5 years
71323,3-5 years,0-2 years
71325,21-23 years,12-14 years
71326,27-29 years,27-29 years
71327,21-23 years,15-17 years
71328,3-5 years,3-5 years
71330,18-20 years,9-11 years
71334,9-11 years,3-5 years
71335,9-11 years,0-2 years
71336,15-17 years,15-17 years
71337,9-11 years,3-5 years
71339,9-11 years,9-11 years
71341,3-5 years,3-5 years
71342,18-20 years,6-8 years
71343,3-5 years,0-2 years
71344,15-17 years,15-17 years
71345,18-20 years,3-5 years
71347,18-20 years,6-8 years
71349,6-8 years,3-5 years
71350,9-11 years,3-5 years
71351,24-26 years,15-17 years
71352,6-8 years,3-5 years
71354,3-5 years,0-2 years
71355,6-8 years,0-2 years
71356,6-8 years,3-5 years
71359,6-8 years,0-2 years
71361,9-11 years,0-2 years
71362,15-17 years,9-11 years
71363,9-11 years,3-5 years
71364,12-14 years,6-8 years
71366,0-2 years,0-2 years
71367,9-11 years,6-8 years
71368,9-11 years,NA
71371,3-5 years,0-2 years
71373,18-20 years,9-11 years
71376,30 or more years,15-17 years
71377,12-14 years,9-11 years
71379,0-2 years,0-2 years
71383,6-8 years,3-5 years
71385,6-8 years,NA
71386,0-2 years,0-2 years
71387,6-8 years,6-8 years
71388,30 or more years,18-20 years
71391,0-2 years,NA
71392,15-17 years,15-17 years
71393,9-11 years,NA
71394,0-2 years,NA
71395,12-14 years,9-11 years
71397,3-5 years,0-2 years
71398,6-8 years,3-5 years
71400,3-5 years,3-5 years
71401,12-14 years,9-11 years
71402,9-11 years,6-8 years
71404,3-5 years,3-5 years
71405,6-8 years,3-5 years
71406,3-5 years,0-2 years
71408,12-14 years,6-8 years
71409,6-8 years,6-8 years
71412,0-2 years,0-2 years
71413,21-23 years,12-14 years
71414,3-5 years,0-2 years
71415,6-8 years,3-5 years
71417,6-8 years,3-5 years
71418,3-5 years,3-5 years
71419,9-11 years,9-11 years
71420,21-23 years,12-14 years
71421,30 or more years,30 or more years
71422,3-5 years,0-2 years
71424,12-14 years,12-14 years
71425,12-14 years,6-8 years
71426,3-5 years,0-2 years
71427,9-11 years,9-11 years
71428,3-5 years,0-2 years
71429,3-5 years,0-2 years
71430,6-8 years,3-5 years
71431,3-5 years,0-2 years
71432,30 or more years,21-23 years
71433,9-11 years,9-11 years
71435,6-8 years,NA
71436,18-20 years,9-11 years
71437,6-8 years,6-8 years
71440,12-14 years,6-8 years
71441,9-11 years,NA
71442,6-8 years,0-2 years
71443,3-5 years,3-5 years
71445,9-11 years,6-8 years
71446,6-8 years,0-2 years
71447,3-5 years,0-2 years
71448,3-5 years,3-5 years
71449,0-2 years,NA
71450,15-17 years,9-11 years
71451,3-5 years,3-5 years
71452,6-8 years,0-2 years
71453,0-2 years,0-2 years
71454,3-5 years,NA
71456,9-11 years,9-11 years
71457,3-5 years,3-5 years
71458,9-11 years,6-8 years
71459,6-8 years,0-2 years
71462,3-5 years,3-5 years
71466,15-17 years,9-11 years
71468,6-8 years,0-2 years
71469,6-8 years,0-2 years
71470,6-8 years,3-5 years
71471,3-5 years,3-5 years
71472,0-2 years,0-2 years
71473,6-8 years,3-5 years
71474,12-14 years,12-14 years
71475,0-2 years,0-2 years
71476,15-17 years,6-8 years
71477,9-11 years,6-8 years
71478,3-5 years,6-8 years
71479,6-8 years,6-8 years
71481,3-5 years,3-5 years
71483,12-14 years,12-14 years
71484,0-2 years,NA
71485,15-17 years,15-17 years
71486,3-5 years,0-2 years
71487,3-5 years,3-5 years
71488,3-5 years,NA
71489,15-17 years,12-14 years
71490,3-5 years,0-2 years
71493,3-5 years,0-2 years
71495,6-8 years,3-5 years
71496,6-8 years,6-8 years
71497,15-17 years,12-14 years
71498,12-14 years,12-14 years
71500,9-11 years,6-8 years
71501,3-5 years,0-2 years
71502,6-8 years,0-2 years
71504,15-17 years,6-8 years
71505,3-5 years,NA
71506,15-17 years,15-17 years
71509,12-14 years,3-5 years
71512,3-5 years,0-2 years
71513,3-5 years,3-5 years
71514,12-14 years,9-11 years
71515,6-8 years,3-5 years
71517,12-14 years,NA
71518,6-8 years,0-2 years
71519,9-11 years,NA
71520,15-17 years,15-17 years
71521,3-5 years,3-5 years
71523,9-11 years,3-5 years
71525,3-5 years,NA
71527,3-5 years,NA
71528,9-11 years,6-8 years
71529,3-5 years,3-5 years
71530,3-5 years,3-5 years
71532,3-5 years,0-2 years
71534,3-5 years,NA
71535,6-8 years,3-5 years
71536,18-20 years,NA
71537,3-5 years,3-5 years
71539,9-11 years,6-8 years
71540,24-26 years,24-26 years
71541,21-23 years,18-20 years
71545,6-8 years,0-2 years
71548,6-8 years,6-8 years
71550,3-5 years,0-2 years
71551,30 or more years,18-20 years
71552,9-11 years,3-5 years
71554,9-11 years,6-8 years
71557,3-5 years,3-5 years
71558,3-5 years,0-2 years
71560,12-14 years,6-8 years
71562,30 or more years,21-23 years
71563,3-5 years,0-2 years
71564,3-5 years,0-2 years
71565,12-14 years,6-8 years
71566,6-8 years,0-2 years
71567,15-17 years,6-8 years
71568,18-20 years,15-17 years
71569,3-5 years,3-5 years
71570,6-8 years,NA
71571,9-11 years,6-8 years
71572,6-8 years,3-5 years
71574,3-5 years,3-5 years
71575,9-11 years,3-5 years
71576,6-8 years,6-8 years
71577,3-5 years,NA
71578,15-17 years,15-17 years
71580,6-8 years,3-5 years
71581,3-5 years,0-2 years
71582,15-17 years,9-11 years
71586,12-14 years,12-14 years
71587,15-17 years,6-8 years
71589,0-2 years,0-2 years
71591,15-17 years,NA
71592,9-11 years,NA
71593,6-8 years,0-2 years
71595,3-5 years,0-2 years
71596,12-14 years,6-8 years
71597,9-11 years,6-8 years
71598,3-5 years,3-5 years
71601,6-8 years,6-8 years
71603,30 or more years,30 or more years
71604,18-20 years,12-14 years
71605,9-11 years,NA
71606,3-5 years,0-2 years
71608,30 or more years,30 or more years
71609,24-26 years,15-17 years
71610,9-11 years,9-11 years
71611,0-2 years,NA
71612,24-26 years,12-14 years
71613,27-29 years,18-20 years
71616,6-8 years,3-5 years
71617,9-11 years,0-2 years
71620,9-11 years,3-5 years
71622,6-8 years,0-2 years
71623,0-2 years,NA
71624,12-14 years,NA
71625,6-8 years,3-5 years
71626,6-8 years,NA
71628,15-17 years,15-17 years
71629,3-5 years,3-5 years
71633,3-5 years,3-5 years
71635,18-20 years,NA
71636,21-23 years,18-20 years
71640,6-8 years,0-2 years
71641,3-5 years,0-2 years
71643,18-20 years,NA
71644,6-8 years,NA
71645,9-11 years,6-8 years
71646,6-8 years,NA
71647,15-17 years,9-11 years
71648,21-23 years,18-20 years
71649,27-29 years,27-29 years
71650,9-11 years,6-8 years
71651,12-14 years,6-8 years
71653,15-17 years,9-11 years
71654,6-8 years,3-5 years
71656,18-20 years,9-11 years
71657,0-2 years,0-2 years
71658,9-11 years,3-5 years
71660,18-20 years,18-20 years
71661,9-11 years,9-11 years
71662,6-8 years,0-2 years
71663,6-8 years,6-8 years
71664,9-11 years,NA
71666,6-8 years,3-5 years
71667,6-8 years,6-8 years
71668,9-11 years,6-8 years
71669,9-11 years,9-11 years
71670,3-5 years,0-2 years
71671,3-5 years,0-2 years
71672,21-23 years,21-23 years
71674,0-2 years,0-2 years
71676,24-26 years,NA
71677,21-23 years,12-14 years
71679,3-5 years,3-5 years
71681,6-8 years,3-5 years
71683,3-5 years,NA
71684,0-2 years,NA
71685,6-8 years,0-2 years
71687,24-26 years,21-23 years
71689,18-20 years,6-8 years
71691,6-8 years,0-2 years
71692,6-8 years,3-5 years
71693,6-8 years,3-5 years
71694,18-20 years,12-14 years
71695,6-8 years,NA
71698,0-2 years,NA
71699,0-2 years,NA
71700,6-8 years,0-2 years
71703,6-8 years,0-2 years
71706,3-5 years,0-2 years
71707,12-14 years,NA
71708,9-11 years,6-8 years
71709,3-5 years,0-2 years
71710,24-26 years,NA
71711,6-8 years,6-8 years
71712,0-2 years,NA
71717,30 or more years,27-29 years
71718,30 or more years,30 or more years
71720,12-14 years,6-8 years
71721,12-14 years,NA
71722,3-5 years,0-2 years
71724,6-8 years,6-8 years
71725,6-8 years,NA
71726,6-8 years,3-5 years
71727,3-5 years,3-5 years
71728,3-5 years,NA
71729,6-8 years,6-8 years
71730,6-8 years,0-2 years
71731,6-8 years,6-8 years
71732,12-14 years,3-5 years
71733,6-8 years,0-2 years
71735,9-11 years,6-8 years
71736,6-8 years,3-5 years
71739,9-11 years,6-8 years
71740,9-11 years,0-2 years
71741,18-20 years,15-17 years
71742,3-5 years,NA
71743,15-17 years,6-8 years
71744,3-5 years,3-5 years
71745,12-14 years,3-5 years
71747,15-17 years,12-14 years
71748,9-11 years,9-11 years
71749,15-17 years,15-17 years
71750,15-17 years,15-17 years
71751,9-11 years,NA
71752,12-14 years,12-14 years
71753,6-8 years,3-5 years
71754,3-5 years,3-5 years
71755,9-11 years,NA
71756,12-14 years,9-11 years
71759,15-17 years,9-11 years
71760,6-8 years,3-5 years
71761,6-8 years,3-5 years
71762,12-14 years,6-8 years
71763,0-2 years,0-2 years
71764,0-2 years,0-2 years
71767,18-20 years,12-14 years
71768,3-5 years,NA
71769,6-8 years,3-5 years
71770,3-5 years,0-2 years
71771,3-5 years,3-5 years
71772,3-5 years,0-2 years
71773,30 or more years,24-26 years
71774,18-20 years,3-5 years
71775,9-11 years,6-8 years
71776,15-17 years,15-17 years
71777,6-8 years,0-2 years
71779,9-11 years,6-8 years
71782,30 or more years,27-29 years
71783,12-14 years,0-2 years
71784,24-26 years,18-20 years
71786,6-8 years,0-2 years
71787,6-8 years,0-2 years
71788,3-5 years,0-2 years
71790,6-8 years,6-8 years
71793,27-29 years,27-29 years
71794,9-11 years,NA
71795,15-17 years,NA
71797,24-26 years,21-23 years
71799,15-17 years,3-5 years
71800,3-5 years,0-2 years
71801,6-8 years,3-5 years
71802,0-2 years,0-2 years
